18:25:16.001996 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:21.003348 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:26.000673 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:31.003634 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:35.926906 ARP, Request who-has 192.168.20.135 (Broadcast) tell 192.168.20.136, length 46
18:25:35.927361 ARP, Reply 192.168.20.135 is-at 00:0c:29:6f:d4:68 (oui Unknown), length 46
18:25:36.000568 IP 192.168.20.1.64725 > 239.255.255.250.1900: UDP, length 275
18:25:36.128525 IP 192.168.20.136.38878 > 192.168.20.2.domain: 32008+ PTR? 135.20.168.192.in-addr.arpa. (45)
18:25:36.142079 IP 192.168.20.2.domain > 192.168.20.136.38878: 32008 NXDomain 0/0/0 (45)
18:25:36.143989 IP 192.168.20.136.57385 > 192.168.20.135.ssh: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:36.146138 IP 192.168.20.135.microsoft-ds > 192.168.20.136.57385: Flags [S.], seq 878767278, ack 346449676, win 17520, options [mss 1460], length 0
18:25:36.146270 IP 192.168.20.135.telnet > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:36.146336 IP 192.168.20.135.auth > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:36.146610 IP 192.168.20.135.256 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:36.146669 IP 192.168.20.135.http > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:36.146819 IP 192.168.20.135.http-alt > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:36.146890 IP 192.168.20.135.rtsp > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:36.147025 IP 192.168.20.135.loc-srv > 192.168.20.136.57385: Flags [S.], seq 878830750, ack 346449676, win 17520, options [mss 1460], length 0
18:25:36.147096 IP 192.168.20.135.imaps > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:36.147245 IP 192.168.20.136.57385 > 192.168.20.135.microsoft-ds: Flags [R], seq 346449676, win 0, length 0
18:25:36.147305 IP 192.168.20.136.57385 > 192.168.20.135.loc-srv: Flags [R], seq 346449676, win 0, length 0
18:25:37.246604 IP 192.168.20.136.57386 > 192.168.20.135.imaps: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:37.246814 IP 192.168.20.136.57386 > 192.168.20.135.loc-srv: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:37.246947 IP 192.168.20.136.57386 > 192.168.20.135.rtsp: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:37.247073 IP 192.168.20.136.57386 > 192.168.20.135.http-alt: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:37.247222 IP 192.168.20.136.57386 > 192.168.20.135.http: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:37.247289 IP 192.168.20.136.57386 > 192.168.20.135.256: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:37.247393 IP 192.168.20.136.57386 > 192.168.20.135.auth: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:37.247538 IP 192.168.20.136.57386 > 192.168.20.135.telnet: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:37.247608 IP 192.168.20.136.57386 > 192.168.20.135.microsoft-ds: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:37.247751 IP 192.168.20.136.57385 > 192.168.20.135.ftp: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.247939 IP 192.168.20.136.57385 > 192.168.20.135.smux: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.248088 IP 192.168.20.136.57385 > 192.168.20.135.mysql: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.248199 IP 192.168.20.136.57385 > 192.168.20.135.pop3: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.248312 IP 192.168.20.136.57385 > 192.168.20.135.sunrpc: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.248423 IP 192.168.20.136.57385 > 192.168.20.135.5900: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.248523 IP 192.168.20.136.57385 > 192.168.20.135.submission: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.248686 IP 192.168.20.136.57385 > 192.168.20.135.pop3s: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.248788 IP 192.168.20.136.57385 > 192.168.20.135.3389: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.248855 IP 192.168.20.136.57385 > 192.168.20.135.imap2: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.248911 IP 192.168.20.136.57385 > 192.168.20.135.1720: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.249005 IP 192.168.20.136.57385 > 192.168.20.135.8888: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.249114 IP 192.168.20.135.imaps > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:37.249262 IP 192.168.20.135.loc-srv > 192.168.20.136.57386: Flags [S.], seq 879139299, ack 346515211, win 17520, options [mss 1460], length 0
18:25:37.249522 IP 192.168.20.135.rtsp > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:37.249731 IP 192.168.20.135.http-alt > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:37.249838 IP 192.168.20.135.http > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:37.250071 IP 192.168.20.135.256 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:37.250139 IP 192.168.20.135.auth > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:37.250207 IP 192.168.20.135.telnet > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:37.250274 IP 192.168.20.135.microsoft-ds > 192.168.20.136.57386: Flags [S.], seq 879174901, ack 346515211, win 17520, options [mss 1460], length 0
18:25:37.250338 IP 192.168.20.135.ftp > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.250392 IP 192.168.20.135.smux > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.250526 IP 192.168.20.135.mysql > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.250671 IP 192.168.20.135.pop3 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.250743 IP 192.168.20.135.sunrpc > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.250879 IP 192.168.20.135.5900 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.250948 IP 192.168.20.135.submission > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.251096 IP 192.168.20.135.pop3s > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.251161 IP 192.168.20.135.3389 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.251227 IP 192.168.20.135.imap2 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.251296 IP 192.168.20.135.1720 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.251362 IP 192.168.20.135.8888 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.251465 IP 192.168.20.136.57386 > 192.168.20.135.loc-srv: Flags [R], seq 346515211, win 0, length 0
18:25:37.251529 IP 192.168.20.136.57386 > 192.168.20.135.microsoft-ds: Flags [R], seq 346515211, win 0, length 0
18:25:37.251629 IP 192.168.20.136.57385 > 192.168.20.135.domain: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.251735 IP 192.168.20.136.57385 > 192.168.20.135.1723: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.251967 IP 192.168.20.136.57385 > 192.168.20.135.https: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.252137 IP 192.168.20.136.57385 > 192.168.20.135.netbios-ssn: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.252253 IP 192.168.20.136.57385 > 192.168.20.135.1025: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.252399 IP 192.168.20.136.57385 > 192.168.20.135.smtp: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.252502 IP 192.168.20.136.57385 > 192.168.20.135.1027: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.252608 IP 192.168.20.136.57385 > 192.168.20.135.omirr: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.252719 IP 192.168.20.136.57385 > 192.168.20.135.3301: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.252869 IP 192.168.20.136.57385 > 192.168.20.135.1277: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.252974 IP 192.168.20.136.57385 > 192.168.20.135.3128: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.253116 IP 192.168.20.136.57385 > 192.168.20.135.30718: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.253232 IP 192.168.20.136.57385 > 192.168.20.135.1145: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.253346 IP 192.168.20.136.57385 > 192.168.20.135.iprop: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.253501 IP 192.168.20.136.57385 > 192.168.20.135.1148: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.253612 IP 192.168.20.136.57385 > 192.168.20.135.1862: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.253718 IP 192.168.20.136.57385 > 192.168.20.135.nut: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.254013 IP 192.168.20.136.57385 > 192.168.20.135.61900: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.254115 IP 192.168.20.136.57385 > 192.168.20.135.1328: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.254216 IP 192.168.20.136.57385 > 192.168.20.135.50001: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.254327 IP 192.168.20.136.57385 > 192.168.20.135.7937: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.254398 IP 192.168.20.136.57385 > 192.168.20.135.2393: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.254441 IP 192.168.20.136.57385 > 192.168.20.135.2038: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.254482 IP 192.168.20.136.57385 > 192.168.20.135.9110: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.254521 IP 192.168.20.136.57385 > 192.168.20.135.52673: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.254591 IP 192.168.20.136.57385 > 192.168.20.135.1301: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.254631 IP 192.168.20.136.57385 > 192.168.20.135.2251: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.254671 IP 192.168.20.136.57385 > 192.168.20.135.exec: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.254860 IP 192.168.20.135.domain > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.254966 IP 192.168.20.135.1723 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.255194 IP 192.168.20.135.https > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.255303 IP 192.168.20.135.netbios-ssn > 192.168.20.136.57385: Flags [S.], seq 879221697, ack 346449676, win 17520, options [mss 1460], length 0
18:25:37.255540 IP 192.168.20.135.1025 > 192.168.20.136.57385: Flags [S.], seq 879255508, ack 346449676, win 17520, options [mss 1460], length 0
18:25:37.255654 IP 192.168.20.135.smtp > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.255798 IP 192.168.20.135.1027 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.255939 IP 192.168.20.135.omirr > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.256011 IP 192.168.20.135.3301 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.256078 IP 192.168.20.135.1277 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.256131 IP 192.168.20.135.3128 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.256194 IP 192.168.20.135.30718 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.256256 IP 192.168.20.135.1145 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.256317 IP 192.168.20.135.iprop > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.256379 IP 192.168.20.135.1148 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.256439 IP 192.168.20.135.1862 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.256581 IP 192.168.20.135.nut > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.256653 IP 192.168.20.135.61900 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.256722 IP 192.168.20.135.1328 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.256784 IP 192.168.20.135.50001 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.256916 IP 192.168.20.135.7937 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.256988 IP 192.168.20.135.2393 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.257128 IP 192.168.20.135.2038 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.257202 IP 192.168.20.135.9110 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.257267 IP 192.168.20.135.52673 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.257325 IP 192.168.20.135.1301 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.257387 IP 192.168.20.135.2251 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.257520 IP 192.168.20.135.exec > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.257673 IP 192.168.20.136.57385 > 192.168.20.135.netbios-ssn: Flags [R], seq 346449676, win 0, length 0
18:25:37.257729 IP 192.168.20.136.57385 > 192.168.20.135.1025: Flags [R], seq 346449676, win 0, length 0
18:25:37.347531 IP 192.168.20.136.57385 > 192.168.20.135.ftp-data: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.348239 IP 192.168.20.135.ftp-data > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.348344 IP 192.168.20.136.57385 > 192.168.20.135.1033: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.348433 IP 192.168.20.136.57385 > 192.168.20.135.1521: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.348499 IP 192.168.20.136.57385 > 192.168.20.135.12174: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.348555 IP 192.168.20.136.57385 > 192.168.20.135.903: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.348777 IP 192.168.20.136.57385 > 192.168.20.135.nntps: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.348989 IP 192.168.20.135.1033 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.349040 IP 192.168.20.135.1521 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.349106 IP 192.168.20.136.57385 > 192.168.20.135.1296: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.349150 IP 192.168.20.136.57385 > 192.168.20.135.5280: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.349191 IP 192.168.20.136.57385 > 192.168.20.135.60020: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.349230 IP 192.168.20.136.57385 > 192.168.20.135.8045: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.349432 IP 192.168.20.135.12174 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.349553 IP 192.168.20.135.903 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.349635 IP 192.168.20.136.57385 > 192.168.20.135.2920: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.349688 IP 192.168.20.136.57385 > 192.168.20.135.1131: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.349738 IP 192.168.20.136.57385 > 192.168.20.135.9099: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.349789 IP 192.168.20.136.57385 > 192.168.20.135.6669: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.349919 IP 192.168.20.135.nntps > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.349988 IP 192.168.20.136.57385 > 192.168.20.135.webmin: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.350038 IP 192.168.20.136.57385 > 192.168.20.135.8000: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.350122 IP 192.168.20.135.1296 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.350187 IP 192.168.20.136.57385 > 192.168.20.135.8222: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.350254 IP 192.168.20.135.5280 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.350317 IP 192.168.20.136.57385 > 192.168.20.135.55555: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.350424 IP 192.168.20.135.60020 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.350538 IP 192.168.20.136.57385 > 192.168.20.135.bacula-dir: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.350809 IP 192.168.20.135.8045 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.350949 IP 192.168.20.135.2920 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.351161 IP 192.168.20.135.1131 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.351382 IP 192.168.20.135.9099 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.351551 IP 192.168.20.135.6669 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.351623 IP 192.168.20.135.webmin > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.351769 IP 192.168.20.135.8000 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.351851 IP 192.168.20.135.8222 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.351992 IP 192.168.20.135.55555 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.352070 IP 192.168.20.135.bacula-dir > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.352174 IP 192.168.20.136.57385 > 192.168.20.135.2394: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.352237 IP 192.168.20.136.57385 > 192.168.20.135.1213: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.352342 IP 192.168.20.136.57385 > 192.168.20.135.4045: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.352431 IP 192.168.20.136.57385 > 192.168.20.135.9898: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.352489 IP 192.168.20.136.57385 > 192.168.20.135.10001: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.352532 IP 192.168.20.136.57385 > 192.168.20.135.2107: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.352571 IP 192.168.20.136.57385 > 192.168.20.135.1556: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.352611 IP 192.168.20.136.57385 > 192.168.20.135.9207: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.352652 IP 192.168.20.136.57385 > 192.168.20.135.5500: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.352692 IP 192.168.20.136.57385 > 192.168.20.135.afs3-prserver: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.352731 IP 192.168.20.136.57385 > 192.168.20.135.32780: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.352772 IP 192.168.20.136.57385 > 192.168.20.135.9877: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.352811 IP 192.168.20.136.57385 > 192.168.20.135.2196: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.352851 IP 192.168.20.136.57385 > 192.168.20.135.1310: Flags [S], seq 346449675, win 1024, options [mss 1460], length 0
18:25:37.353036 IP 192.168.20.135.2394 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.353207 IP 192.168.20.135.1213 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.353298 IP 192.168.20.135.4045 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.353448 IP 192.168.20.135.9898 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.353517 IP 192.168.20.135.10001 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.353772 IP 192.168.20.135.2107 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.354005 IP 192.168.20.135.1556 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.354067 IP 192.168.20.135.9207 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.354124 IP 192.168.20.135.5500 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.354237 IP 192.168.20.135.afs3-prserver > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.354378 IP 192.168.20.135.32780 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.354469 IP 192.168.20.135.9877 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.354512 IP 192.168.20.135.2196 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.354691 IP 192.168.20.135.1310 > 192.168.20.136.57385: Flags [R.], seq 0, ack 346449676, win 0, length 0
18:25:37.448559 IP 192.168.20.136.57386 > 192.168.20.135.1521: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:37.448745 IP 192.168.20.136.57386 > 192.168.20.135.1033: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:37.448819 IP 192.168.20.136.57386 > 192.168.20.135.ftp-data: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:37.449166 IP 192.168.20.135.1521 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:37.449381 IP 192.168.20.135.1033 > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:37.449514 IP 192.168.20.135.ftp-data > 192.168.20.136.57386: Flags [R.], seq 0, ack 346515211, win 0, length 0
18:25:37.451561 IP 192.168.20.136.57386 > 192.168.20.135.2107: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:37.451726 IP 192.168.20.136.57386 > 192.168.20.135.10001: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:37.451855 IP 192.168.20.136.57386 > 192.168.20.135.9898: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
18:25:37.452002 IP 192.168.20.136.57386 > 192.168.20.135.4045: Flags [S], seq 346515210, win 1024, options [mss 1460], length 0
